17209833|['RICARDO PENGO - 101; JARDIM NOVO HORIZONTE - 17209833; JAU - SP - (10669)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207080|['AURELIO MATIELLO - 40; JARDIM REGINA - 17207080; JAU - SP - (1007)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208120|['JESUS DIZ - 344; JARDIM NETINHO PRADO - 17208120; JAU - SP - (3948)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208410|['TICIANO DE LOURENCO - 167; JARDIM MARIA CIBELE - 17208410; JAU - SP - (876)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209070|['NICOLAU PIRAGINE,PROF - 200; CHACARA BELA VISTA - 17209070; JAU - SP - (6106)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207760|['ANTONIO EVARISTO CAMARGO - 84; JARDIM CAROLINA - 17207760; JAU - SP - (582)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209180|['BARBARA,STA - 180; VILA VICENTE - 17209180; JAU - SP - (1074)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208530|['DIONIZIO FERRUCCI - 963; JARDIM SAO CRISPIM - 17208530; JAU - SP - (11690)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207180|['AVELINO PEREIRA DE BARROS - 138; VILA IVAN - 17207180; JAU - SP - (1031)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207670|['BRAZ PRIORI - 131; JARDIM CAROLINA - 17207670; JAU - SP - (1295)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208530|['DIONIZIO FERRUCCI - 1173; JARDIM SAO CRISPIM - 17208530; JAU - SP - (11690)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209250|['O campo Nº Imóvel é de preenchimento obrigatório.']|
17210690|['JOSE GIAMPIETRO - 296; JARDIM AMERICA - 17210690; JAU - SP - (4766)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209839|['PEDRO BOAVENTURA - 198; JARDIM NOVO HORIZONTE - 17209839; JAU - SP - (10740)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208320|['EUGENIO CANTARELLI - 31; JARDIM VILA MARIA - 17208320; JAU - SP - (2593)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17206600|['SIRIEMAS - 895; PARQUE RESIDENCIAL PRIMAVERA - 17206600; JAU - SP - (18880)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210440|['JOSE MIDENA - 159; JARDIM ALVORADA - 17210440; JAU - SP - (4898)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208500|['JOSE FRANCISCO TOZZI - 888; JARDIM SAO CRISPIM - 17208500; JAU - SP - (11665)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210470|['DOMINGOS LEONELLI - 178; JARDIM ALVORADA - 17210470; JAU - SP - (2178)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210865|['LAERTH MAZIERO - 180; VILLAGIO DI ROMA - 17210865; JAU - SP - (18708)', 'VIVO1', 'METALICO', '13', '1', '0', '0']|SEM DISPONIBILIDADE
17209010|['ISALTINO AMARAL CARVALHO - 2110; CHACARA BELA VISTA - 17209010; JAU - SP - (3476)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208500|['JOSE FRANCISCO TOZZI - 1173; JARDIM SAO CRISPIM - 17208500; JAU - SP - (11665)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210610|['ETELVINO FERRAZ TEIXEIRA - 450; JARDIM AMERICA - 17210610; JAU - SP - (2585)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210670|['JORGE BUCHALLA - 513; JARDIM AMERICA - 17210670; JAU - SP - (4626)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17201220|['EMILIO FUZER - 83; CENTRO - 17201220; JAU - SP - (2488)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208340|['JOSE AUGUSTO,DR - 160; JARDIM VILA MARIA - 17208340; JAU - SP - (4553)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210670|['JORGE BUCHALLA - 180; JARDIM AMERICA - 17210670; JAU - SP - (4626)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207640|['LUZIA,STA - 465; JARDIM CAROLINA - 17207640; JAU - SP - (6238)', 'VIVO1', '', '0', '0', '0', '0']|SEM DISPONIBILIDADE
17209656|['RUI BARBOSA - 1477; JARDIM FERREIRA DIAS - 17209656; JAU - SP - (7390)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207650|['TULIO BERTOLDI - 103; JARDIM CAROLINA - 17207650; JAU - SP - (8125)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207400|['JOAO RIBEIRO BARROS,COMDT - 240; JARDIM BELA VISTA - 17207400; JAU - SP - (4294)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208270|['NETINHO PRADO - 170; JARDIM VILA MARIA - 17208270; JAU - SP - (6076)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209180|['BARBARA,STA - 425; VILA VICENTE - 17209180; JAU - SP - (1074)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210650|['JOSE FORNALE - 350; JARDIM AMERICA - 17210650; JAU - SP - (4707)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210680|['ELIAS BICHARA TABBAL - 525; JARDIM AMERICA - 17210680; JAU - SP - (2453)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207680|['RAPHAEL JOSE GIANINI - 290; JARDIM CAROLINA - 17207680; JAU - SP - (7110)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208270|['NETINHO PRADO - 800; JARDIM VILA MARIA - 17208270; JAU - SP - (6076)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209690|['ITALO PECCIOLLI,DR - 203; JARDIM FERREIRA DIAS - 17209690; JAU - SP - (3530)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208490|['GUERINO SALMAZO - 757; JARDIM SAO CRISPIM - 17208490; JAU - SP - (11630)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210720|['CESARIO CARAMANO - 71; JARDIM AMERICA - 17210720; JAU - SP - (1651)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208747|['JOAO GAMBARINI - 197; JARDIM CAMPOS PRADO - 17208747; JAU - SP - (11894)', 'VIVO1', 'METALICO', '39', '1', '0', '0']|SEM DISPONIBILIDADE
17209842|['O campo Nº Imóvel é de preenchimento obrigatório.']|
17206020|['INACIO DE ALMEIDA PRADO JR - 265; JARDIM SAO JOSE - 17206020; JAU - SP - (8117)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207730|['FERNANDO A PRADO JR - 240; JARDIM CAROLINA - 17207730; JAU - SP - (2658)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209440|['ALVARO SOUZA E SILVA - 494; JARDIM ITAMARATI - 17209440; JAU - SP - (299)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210600|['ADAO FREDERICO DE ALMEIDA - 578; JARDIM AMERICA - 17210600; JAU - SP - (60)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209010|['ISALTINO AMARAL CARVALHO - 1664; CHACARA BELA VISTA - 17209010; JAU - SP - (3476)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207680|['RAPHAEL JOSE GIANINI - 103; JARDIM CAROLINA - 17207680; JAU - SP - (7110)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210620|['TOSSELI DE CALLIS - 484; JARDIM AMERICA - 17210620; JAU - SP - (7978)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210650|['JOSE FORNALE - 10; JARDIM AMERICA - 17210650; JAU - SP - (4707)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209851|['JOAO L ALMEIDA PRADO,DEP - 275; JARDIM NOVO HORIZONTE - 17209851; JAU - SP - (10693)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209060|['PEDRO RONCHESEL - 32; CHACARA BELA VISTA - 17209060; JAU - SP - (6742)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209480|['ANTONIO RAFFA - 59; JARDIM ITAMARATI - 17209480; JAU - SP - (701)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207140|['PARANA - 217; VILA MARIA CRISTINA - 17207140; JAU - SP - (6599)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208220|['ANTONIO PAVANELLI - 130; JARDIM NETINHO PRADO - 17208220; JAU - SP - (680)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17206460|['PEDRO MERLINE - 223; LOTEAMENTO INDUSTRIAL QUINTA DA COLINA - 17206460; JAU - SP - (18953)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210480|['DOMINGOS BACHIEGA - 89; JARDIM ALVORADA - 17210480; JAU - SP - (2135)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209440|['ALVARO SOUZA E SILVA - 135; JARDIM ITAMARATI - 17209440; JAU - SP - (299)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210680|['ELIAS BICHARA TABBAL - 546; JARDIM AMERICA - 17210680; JAU - SP - (2453)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209851|['JOAO L ALMEIDA PRADO,DEP - 156; JARDIM NOVO HORIZONTE - 17209851; JAU - SP - (10693)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207700|['HUMBERTO MATIELLO - 124; JARDIM CAROLINA - 17207700; JAU - SP - (3301)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209680|['OSWALDO CHIOZZI - 180; JARDIM FERREIRA DIAS - 17209680; JAU - SP - (6505)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209410|['ALVARINO GOMES O E SILVA - 135; JARDIM ITAMARATI - 17209410; JAU - SP - (7706)', 'VIVO1', '', '0', '0', '0', '0']|SEM DISPONIBILIDADE
17208340|['JOSE AUGUSTO,DR - 210; JARDIM VILA MARIA - 17208340; JAU - SP - (4553)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209580|['ERNESTO PIRES DE CAMPOS - 270; JARDIM SANTA ROSA - 17209580; JAU - SP - (6327)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210410|['ANTONIO GIANINI - 15; JARDIM ALVORADA - 17210410; JAU - SP - (639)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207431|['JULINHO DE CARVALHO - 415; JARDIM BELA VISTA - 17207431; JAU - SP - (11045)', 'VIVO1', 'METALICO', '8', '1', '0', '0']|SEM DISPONIBILIDADE
17207450|['VICENTE BERNARDI - 270; JARDIM BELA VISTA - 17207450; JAU - SP - (8273)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209160|['RUDOLF WIECK - 197; CHACARA SAO JOSE - 17209160; JAU - SP - (7382)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209836|['BRAS MIRA CASTRO - 185; JARDIM NOVO HORIZONTE - 17209836; JAU - SP - (10707)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209070|['NICOLAU PIRAGINE,PROF - 214; CHACARA BELA VISTA - 17209070; JAU - SP - (6106)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209180|['BARBARA,STA - 435; VILA VICENTE - 17209180; JAU - SP - (1074)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210620|['TOSSELI DE CALLIS - 115; JARDIM AMERICA - 17210620; JAU - SP - (7978)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209060|['PEDRO RONCHESEL - 130; CHACARA BELA VISTA - 17209060; JAU - SP - (6742)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208160|['JOAO BOTTER - 235; JARDIM NETINHO PRADO - 17208160; JAU - SP - (3999)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209440|['ALVARO SOUZA E SILVA - 15; JARDIM ITAMARATI - 17209440; JAU - SP - (299)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207680|['RAPHAEL JOSE GIANINI - 58; JARDIM CAROLINA - 17207680; JAU - SP - (7110)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209580|['ERNESTO PIRES DE CAMPOS - 63; JARDIM SANTA ROSA - 17209580; JAU - SP - (6327)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208400|['MARIA CIBELE SANZOVO - 271; JARDIM MARIA CIBELE - 17208400; JAU - SP - (868)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209656|['RUI BARBOSA - 1775; JARDIM FERREIRA DIAS - 17209656; JAU - SP - (7390)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209010|['ISALTINO AMARAL CARVALHO - 1820; CHACARA BELA VISTA - 17209010; JAU - SP - (3476)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209200|['LUIZ,S - 695; VILA VICENTE - 17209200; JAU - SP - (5444)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209650|['JOSE MARCHESAN - 25; JARDIM FERREIRA DIAS - 17209650; JAU - SP - (4820)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208088|['GUSTAVO CHIOZZI - 71; JARDIM NETINHO PRADO - 17208088; JAU - SP - (3115)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207400|['JOAO RIBEIRO BARROS,COMDT - 258; JARDIM BELA VISTA - 17207400; JAU - SP - (4294)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209656|['RUI BARBOSA - 1887; JARDIM FERREIRA DIAS - 17209656; JAU - SP - (7390)', 'VIVO1', 'METALICO', '7', '1', '0', '0']|SEM DISPONIBILIDADE
17207400|['JOAO RIBEIRO BARROS,COMDT - 356; JARDIM BELA VISTA - 17207400; JAU - SP - (4294)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17206455|['ERNANI BRANDAO TOFFANO - 59; LOTEAMENTO INDUSTRIAL QUINTA DA COLINA - 17206455; JAU - SP - (18945)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208420|['SINESIO PAES DE BARROS - 720; JARDIM MARIA CIBELE - 17208420; JAU - SP - (7773)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207650|['TULIO BERTOLDI - 155; JARDIM CAROLINA - 17207650; JAU - SP - (8125)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208750|['ZEZINHO PADIN - 195; JARDIM CAMPOS PRADO - 17208750; JAU - SP - (11924)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17206480|['ALBERTO CARBONI - 91; LOTEAMENTO INDUSTRIAL QUINTA DA COLINA - 17206480; JAU - SP - (18929)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210640|['GUMERCINDO DA SILVA FLORET - 395; JARDIM AMERICA - 17210640; JAU - SP - (3107)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209010|['ISALTINO AMARAL CARVALHO - 1793; CHACARA BELA VISTA - 17209010; JAU - SP - (3476)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208270|['NETINHO PRADO - 10; JARDIM VILA MARIA - 17208270; JAU - SP - (6076)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209851|['JOAO L ALMEIDA PRADO,DEP - 295; JARDIM NOVO HORIZONTE - 17209851; JAU - SP - (10693)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208650|['OSWALDO BRUNO JAQUETA - 300; JARDIM OLIMPIA - 17208650; JAU - SP - (10928)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209680|['OSWALDO CHIOZZI - 151; JARDIM FERREIRA DIAS - 17209680; JAU - SP - (6505)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207730|['FERNANDO A PRADO JR - 174; JARDIM CAROLINA - 17207730; JAU - SP - (2658)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209580|['ERNESTO PIRES DE CAMPOS - 25; JARDIM SANTA ROSA - 17209580; JAU - SP - (6327)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17207560|['JOAO ALVES - 74; VILA ALVES DE ALMEIDA - 17207560; JAU - SP - (3956)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209440|['ALVARO SOUZA E SILVA - 110; JARDIM ITAMARATI - 17209440; JAU - SP - (299)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208080|['PEDRO I,DOM - 407; JARDIM NETINHO PRADO - 17208080; JAU - SP - (6734)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208130|['BRAZ DOMINGOS ROSSI - 56; JARDIM NETINHO PRADO - 17208130; JAU - SP - (1287)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209220|['ELOY DE ALMEIDA PRADO,PFTO - 206; VILA VICENTE - 17209220; JAU - SP - (2470)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209430|['JOAO MARIA C DE LYRA,DR - 590; JARDIM ITAMARATI - 17209430; JAU - SP - (4189)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209657|['NENE GALVAO - 2555; JARDIM FERREIRA DIAS - 17209657; JAU - SP - (6050)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209837|['AGRICIO SGARBI - 248; JARDIM NOVO HORIZONTE - 17209837; JAU - SP - (10723)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208150|['MIGUEL SANCINETTI - 265; JARDIM NETINHO PRADO - 17208150; JAU - SP - (5827)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17209526|['AGOSTINHO POLONI - 12; JARDIM SANTA ROSA - 17209526; JAU - SP - (2020)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208370|['JOSE MANOEL CASEIRO - 540; JARDIM MARIA CIBELE - 17208370; JAU - SP - (892)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17206455|['ERNANI BRANDAO TOFFANO - 35; LOTEAMENTO INDUSTRIAL QUINTA DA COLINA - 17206455; JAU - SP - (18945)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208743|['DACIO BURJATO - 136; JARDIM CAMPOS PRADO - 17208743; JAU - SP - (11916)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210680|['ELIAS BICHARA TABBAL - 620; JARDIM AMERICA - 17210680; JAU - SP - (2453)', 'VIVO1', 'METALICO', '5', '0', '0', '0']|SEM DISPONIBILIDADE
17208330|['O campo Nº Imóvel é de preenchimento obrigatório.']|
17209290|['VIRGINIA F A PRADO,DA - 211; JARDIM SAO FRANCISCO - 17209290; JAU - SP - (8419)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17210690|['JOSE GIAMPIETRO - 300; JARDIM AMERICA - 17210690; JAU - SP - (4766)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
17208450|['ELEUTERIO,TTE - 10; JARDIM ANA CAROLINA - 17208450; JAU - SP - (2445)', 'VIVO1', 'GPON', '1', '1', '1', '1']|DISPONIBILIDADE TOTAL
